Epoch 1: Weights: [0.013112, 0.000527], Bias: 0.000000
Epoch 38: Weights: [0.000003, -0.000064], Bias: 0.000100
Epoch 39: Weights: [-0.000038, -0.000032], Bias: 0.000100
Epoch 40: Weights: [0.000114, -0.000016], Bias: 0.000100
Epoch 41: Weights: [-0.000007, 0.000002], Bias: 0.000100
Epoch 42: Weights: [-0.000012, -0.000020], Bias: 0.000100
Epoch 43: Weights: [0.000008, 0.000033], Bias: 0.000100
Epoch 44: Weights: [0.000033, -0.000039], Bias: 0.000100
Epoch 45: Weights: [-0.000012, -0.000020], Bias: 0.000100
Epoch 46: Weights: [0.000007, 0.000033], Bias: 0.000100
Epoch 47: Weights: [0.000033, -0.000039], Bias: 0.000100
Epoch 48: Weights: [-0.000012, -0.000020], Bias: 0.000100
Epoch 49: Weights: [0.000007, 0.000033], Bias: 0.000100
Epoch 50: Weights: [0.000033, -0.000039], Bias: 0.000100
Epoch 51: Weights: [-0.000012, -0.000020], Bias: 0.000100
Epoch 52: Weights: [0.000007, 0.000033], Bias: 0.000100
Epoch 53: Weights: [0.000033, -0.000039], Bias: 0.000100
Epoch 54: Weights: [0.000005, -0.000072], Bias: 0.000100
Epoch 55: Weights: [-0.000037, -0.000040], Bias: 0.000100
Epoch 56: Weights: [0.000031, -0.000052], Bias: 0.000100
Epoch 57: Weights: [0.000020, -0.000059], Bias: 0.000100
Epoch 58: Weights: [-0.000033, -0.000034], Bias: 0.000100
Epoch 59: Weights: [0.000002, -0.000062], Bias: 0.000100
Epoch 60: Weights: [0.000009, -0.000072], Bias: 0.000100
Epoch 61: Weights: [0.000007, 0.000035], Bias: 0.000100
Epoch 62: Weights: [0.000117, -0.000038], Bias: 0.000100
Epoch 63: Weights: [0.000018, -0.000045], Bias: 0.000100
Epoch 64: Weights: [-0.000037, -0.000035], Bias: 0.000100
Epoch 65: Weights: [0.000115, -0.000018], Bias: 0.000100
Epoch 66: Weights: [-0.000005, -0.000091], Bias: 0.000100
Epoch 67: Weights: [-0.000005, -0.000099], Bias: 0.000100
Epoch 68: Weights: [0.000003, -0.000063], Bias: 0.000100
Epoch 69: Weights: [-0.000038, -0.000031], Bias: 0.000100
Epoch 70: Weights: [0.000114, -0.000015], Bias: 0.000100
Epoch 71: Weights: [0.000037, -0.000076], Bias: 0.000100
Epoch 72: Weights: [0.000020, -0.000031], Bias: 0.000100
Epoch 73: Weights: [-0.000025, -0.000023], Bias: 0.000100
Epoch 74: Weights: [-0.000018, -0.000013], Bias: 0.000100
Epoch 75: Weights: [-0.000038, -0.000036], Bias: 0.000100
Epoch 76: Weights: [0.000029, -0.000048], Bias: 0.000100
Epoch 77: Weights: [0.000018, -0.000070], Bias: 0.000100
Epoch 78: Weights: [0.000004, 0.000030], Bias: 0.000100
Epoch 79: Weights: [-0.000040, -0.000041], Bias: 0.000100
Epoch 80: Weights: [0.000027, -0.000053], Bias: 0.000100
Epoch 81: Weights: [-0.000013, -0.000032], Bias: 0.000100
Epoch 82: Weights: [-0.000004, -0.000085], Bias: 0.000100
Epoch 83: Weights: [0.000012, 0.000028], Bias: 0.000100
Epoch 84: Weights: [0.000037, -0.000043], Bias: 0.000100
Epoch 85: Weights: [0.000025, -0.000090], Bias: 0.000100
Epoch 86: Weights: [0.000010, -0.000092], Bias: 0.000100
Epoch 87: Weights: [0.000022, -0.000034], Bias: 0.000100
Epoch 88: Weights: [-0.000023, -0.000026], Bias: 0.000100
Epoch 89: Weights: [0.000002, 0.000033], Bias: 0.000100
Epoch 90: Weights: [-0.000042, -0.000038], Bias: 0.000100
Epoch 91: Weights: [0.000015, 0.000051], Bias: 0.000100
Epoch 92: Weights: [-0.000005, -0.000021], Bias: 0.000100
Epoch 93: Weights: [-0.000021, -0.000023], Bias: 0.000100
Epoch 94: Weights: [0.000112, -0.000029], Bias: 0.000100
Epoch 95: Weights: [0.000010, -0.000036], Bias: 0.000100
Epoch 96: Weights: [-0.000004, -0.000086], Bias: 0.000100
Epoch 97: Weights: [0.000012, 0.000027], Bias: 0.000100
Epoch 98: Weights: [0.000007, 0.000031], Bias: 0.000100
Epoch 99: Weights: [0.000032, -0.000040], Bias: 0.000100
Epoch 100: Weights: [0.000025, -0.000031], Bias: 0.000100
Epoch 101: Weights: [0.000013, -0.000047], Bias: 0.000100
Epoch 102: Weights: [0.000011, -0.000076], Bias: 0.000100
Epoch 103: Weights: [0.000009, 0.000031], Bias: 0.000100
Epoch 104: Weights: [0.000035, -0.000040], Bias: 0.000100
Epoch 105: Weights: [-0.000010, -0.000022], Bias: 0.000100
Epoch 106: Weights: [0.000009, 0.000031], Bias: 0.000100
Epoch 107: Weights: [0.000035, -0.000040], Bias: 0.000100
Epoch 108: Weights: [-0.000010, -0.000022], Bias: 0.000100
Epoch 109: Weights: [0.000009, 0.000031], Bias: 0.000100
Epoch 110: Weights: [0.000034, -0.000040], Bias: 0.000100
Epoch 111: Weights: [-0.000010, -0.000022], Bias: 0.000100
Epoch 112: Weights: [0.000009, 0.000031], Bias: 0.000100
Epoch 113: Weights: [0.000034, -0.000040], Bias: 0.000100
Epoch 114: Weights: [-0.000011, -0.000022], Bias: 0.000100
Epoch 115: Weights: [0.000009, 0.000031], Bias: 0.000100
Epoch 116: Weights: [0.000034, -0.000040], Bias: 0.000100
Epoch 117: Weights: [-0.000011, -0.000022], Bias: 0.000100
Epoch 118: Weights: [0.000008, 0.000031], Bias: 0.000100
Epoch 119: Weights: [0.000034, -0.000040], Bias: 0.000100
Epoch 120: Weights: [-0.000011, -0.000022], Bias: 0.000100
Epoch 121: Weights: [0.000008, 0.000031], Bias: 0.000100
Epoch 122: Weights: [0.000034, -0.000040], Bias: 0.000100
Epoch 123: Weights: [-0.000011, -0.000022], Bias: 0.000100
Epoch 124: Weights: [0.000008, 0.000031], Bias: 0.000100
Epoch 125: Weights: [0.000034, -0.000040], Bias: 0.000100
Epoch 126: Weights: [0.000006, -0.000074], Bias: 0.000100
Epoch 127: Weights: [0.000017, -0.000081], Bias: 0.000100
Epoch 128: Weights: [0.000015, 0.000026], Bias: 0.000100
Epoch 129: Weights: [0.000041, -0.000045], Bias: 0.000100
Epoch 130: Weights: [-0.000037, -0.000032], Bias: 0.000100
Epoch 131: Weights: [0.000114, -0.000016], Bias: 0.000100
Epoch 132: Weights: [0.000038, -0.000077], Bias: 0.000100
Epoch 133: Weights: [0.000020, -0.000032], Bias: 0.000100
Epoch 134: Weights: [-0.000003, -0.000005], Bias: 0.000100
Epoch 135: Weights: [0.000025, -0.000092], Bias: 0.000100
Epoch 136: Weights: [-0.000021, -0.000014], Bias: 0.000100
Epoch 137: Weights: [-0.000041, -0.000036], Bias: 0.000100
Epoch 138: Weights: [0.000016, 0.000054], Bias: 0.000100
Epoch 139: Weights: [0.000000, 0.000022], Bias: 0.000100
Epoch 140: Weights: [0.000001, 0.000032], Bias: 0.000100
Epoch 141: Weights: [-0.000043, -0.000039], Bias: 0.000100
Epoch 142: Weights: [0.000037, -0.000047], Bias: 0.000100
Epoch 143: Weights: [0.000025, -0.000093], Bias: 0.000100
Epoch 144: Weights: [-0.000021, -0.000015], Bias: 0.000100
Epoch 145: Weights: [-0.000042, -0.000037], Bias: 0.000100
Epoch 146: Weights: [0.000016, 0.000053], Bias: 0.000100
Epoch 147: Weights: [-0.000000, 0.000022], Bias: 0.000100
Epoch 148: Weights: [0.000010, -0.000043], Bias: 0.000100
Epoch 149: Weights: [0.000007, -0.000073], Bias: 0.000100
Epoch 150: Weights: [0.000006, 0.000035], Bias: 0.000100
Epoch 151: Weights: [0.000031, -0.000037], Bias: 0.000100
Epoch 152: Weights: [-0.000014, -0.000013], Bias: 0.000100
Epoch 153: Weights: [-0.000034, -0.000035], Bias: 0.000100
Epoch 154: Weights: [0.000001, -0.000062], Bias: 0.000100
Epoch 155: Weights: [0.000026, -0.000090], Bias: 0.000100
Epoch 156: Weights: [0.000031, -0.000056], Bias: 0.000100
Epoch 157: Weights: [-0.000006, 0.000023], Bias: 0.000100
Epoch 158: Weights: [-0.000023, -0.000016], Bias: 0.000100
Epoch 159: Weights: [-0.000043, -0.000038], Bias: 0.000100
Epoch 160: Weights: [0.000015, 0.000051], Bias: 0.000100
Epoch 161: Weights: [-0.000005, -0.000021], Bias: 0.000100
Epoch 162: Weights: [-0.000010, 0.000003], Bias: 0.000100
Epoch 163: Weights: [-0.000015, -0.000013], Bias: 0.000100
Epoch 164: Weights: [-0.000035, -0.000036], Bias: 0.000100
Epoch 165: Weights: [0.000002, -0.000050], Bias: 0.000100
Epoch 166: Weights: [0.000006, -0.000066], Bias: 0.000100
Epoch 167: Weights: [-0.000036, -0.000034], Bias: 0.000100
Epoch 168: Weights: [0.000002, -0.000049], Bias: 0.000100
Epoch 169: Weights: [0.000005, -0.000065], Bias: 0.000100
Epoch 170: Weights: [-0.000036, -0.000033], Bias: 0.000100
Epoch 171: Weights: [0.000116, -0.000017], Bias: 0.000100
Epoch 172: Weights: [-0.000005, -0.000090], Bias: 0.000100
Epoch 173: Weights: [0.000006, 0.000038], Bias: 0.000100
Epoch 174: Weights: [0.000116, -0.000035], Bias: 0.000100
Epoch 175: Weights: [0.000017, -0.000042], Bias: 0.000100
Epoch 176: Weights: [0.000006, -0.000039], Bias: 0.000100
Epoch 177: Weights: [0.000022, -0.000033], Bias: 0.000100
Epoch 178: Weights: [-0.000023, -0.000025], Bias: 0.000100
Epoch 179: Weights: [0.000111, -0.000031], Bias: 0.000100
Epoch 180: Weights: [0.000006, -0.000061], Bias: 0.000100
Epoch 181: Weights: [0.000035, -0.000006], Bias: 0.000100
Epoch 182: Weights: [0.000036, -0.000058], Bias: 0.000100
Epoch 183: Weights: [-0.000001, -0.000087], Bias: 0.000100
Epoch 184: Weights: [0.000004, 0.000030], Bias: 0.000100
Epoch 185: Weights: [-0.000040, -0.000041], Bias: 0.000100
Epoch 186: Weights: [0.000028, -0.000054], Bias: 0.000100
Epoch 187: Weights: [-0.000013, -0.000032], Bias: 0.000100
Epoch 188: Weights: [-0.000004, -0.000085], Bias: 0.000100
Epoch 189: Weights: [-0.000024, -0.000027], Bias: 0.000100
Epoch 190: Weights: [0.000015, -0.000032], Bias: 0.000100
Epoch 191: Weights: [0.000037, 0.000027], Bias: -0.000000
Epoch 192: Weights: [0.000001, 0.000023], Bias: 0.000100
Epoch 193: Weights: [0.000011, -0.000042], Bias: 0.000100
Epoch 194: Weights: [0.000022, -0.000091], Bias: 0.000100
Epoch 195: Weights: [-0.000004, -0.000004], Bias: 0.000100
Epoch 196: Weights: [0.000024, -0.000091], Bias: 0.000100
Epoch 197: Weights: [-0.000024, -0.000024], Bias: 0.000100
Epoch 198: Weights: [0.000037, 0.000009], Bias: 0.000100
Epoch 199: Weights: [0.000003, 0.000012], Bias: 0.000100
Epoch 200: Weights: [0.000013, 0.000055], Bias: 0.000100
