tempo,deslocamento,força
"17,0000","2,8338","1,8076"
"17,0500","2,8421","1,8115"
"17,1000","2,8503","1,8148"
"17,1500","2,8586","1,8180"
"17,2000","2,8669","1,8194"
"17,2500","2,8753","1,8212"
"17,3000","2,8836","1,8249"
"17,3500","2,8920","1,8283"
"17,4000","2,9003","1,8317"
"17,4500","2,9086","1,8341"
"17,5000","2,9169","1,8356"
"17,5500","2,9253","1,8374"
"17,6000","2,9336","1,8402"
"17,6500","2,9419","1,8434"
"17,7000","2,9503","1,8457"
"17,7500","2,9586","1,8468"
"17,8000","2,9669","1,8472"
"17,8500","2,9752","1,8486"
"17,9000","2,9836","1,8511"
"17,9500","2,9920","1,8528"
"18,0000","3,0004","1,8544"
"18,0500","3,0087","1,8540"
"18,1000","3,0170","1,8532"
"18,1500","3,0253","1,8536"
"18,2000","3,0337","1,8547"
"18,2500","3,0421","1,8551"
"18,3000","3,0504","1,8543"
"18,3500","3,0587","1,8521"
"18,4000","3,0671","1,8502"
"18,4500","3,0754","1,8489"
"18,5000","3,0838","1,8490"
"18,5500","3,0921","1,8474"
"18,6000","3,1004","1,8451"
"18,6500","3,1088","1,8415"
"18,7000","3,1171","1,8390"
"18,7500","3,1253","1,8371"
"18,8000","3,1337","1,8352"
"18,8500","3,1421","1,8328"
"18,9000","3,1504","1,8287"
"18,9500","3,1588","1,8247"
"19,0000","3,1671","1,8216"
"19,0500","3,1754","1,8189"
"19,1000","3,1837","1,8161"
"19,1500","3,1920","1,8131"
"19,2000","3,2002","1,8078"
"19,2500","3,2086","1,8032"
"19,3000","3,2170","1,8004"
"19,3500","3,2253","1,7973"
"19,4000","3,2337","1,7944"
"19,4500","3,2420","1,7906"
"19,5000","3,2504","1,7851"
"19,5500","3,2588","1,7813"
"19,6000","3,2671","1,7784"
"19,6500","3,2754","1,7757"
"19,7000","3,2838","1,7725"
"19,7500","3,2920","1,7672"
"19,8000","3,3003","1,7621"
"19,8500","3,3087","1,7584"
"19,9000","3,3170","1,7560"
"19,9500","3,3254","1,7529"
"20,0000","3,3337","1,7487"
"20,0500","3,3421","1,7439"
"20,1000","3,3504","1,7398"
"20,1500","3,3588","1,7372"
"20,2000","3,3670","1,7340"
"20,2500","3,3754","1,7309"
"20,3000","3,3838","1,7261"
"20,3500","3,3920","1,7221"
"20,4000","3,4003","1,7181"
"20,4500","3,4087","1,7164"
"20,5000","3,4170","1,7134"
"20,5500","3,4254","1,7110"
"20,6000","3,4337","1,7060"
"20,6500","3,4420","1,7019"
"20,7000","3,4504","1,7001"
"20,7500","3,4586","1,6976"
"20,8000","3,4670","1,6953"
"20,8500","3,4753","1,6919"
"20,9000","3,4836","1,6876"
"20,9500","3,4919","1,6848"
"21,0000","3,5003","1,6836"
"21,0500","3,5086","1,6815"
"21,1000","3,5169","1,6789"
"21,1500","3,5252","1,6759"
"21,2000","3,5336","1,6722"
"21,2500","3,5420","1,6701"
"21,3000","3,5504","1,6688"
"21,3500","3,5587","1,6675"
"21,4000","3,5670","1,6648"
"21,4500","3,5754","1,6610"
"21,5000","3,5837","1,6586"
"21,5500","3,5921","1,6574"
"21,6000","3,6004","1,6564"
"21,6500","3,6088","1,6545"
"21,7000","3,6170","1,6518"
"21,7500","3,6253","1,6483"
"21,8000","3,6337","1,6473"
"21,8500","3,6421","1,6465"
"21,9000","3,6504","1,6455"
"21,9500","3,6588","1,6433"
"22,0000","3,6671","1,6401"
"22,0500","3,6753","1,6382"
"22,1000","3,6837","1,6370"
"22,1500","3,6921","1,6367"
"22,2000","3,7004","1,6353"
"22,2500","3,7088","1,6330"
"22,3000","3,7172","1,6300"
"22,3500","3,7254","1,6288"
"22,4000","3,7337","1,6279"
"22,4500","3,7420","1,6274"
"22,5000","3,7503","1,6263"
"22,5500","3,7587","1,6242"
"22,6000","3,7672","1,6215"
"22,6500","3,7755","1,6207"
"22,7000","3,7838","1,6204"
"22,7500","3,7921","1,6196"
"22,8000","3,8005","1,6181"
"22,8500","3,8087","1,6163"
"22,9000","3,8171","1,6140"
"22,9500","3,8254","1,6132"
"23,0000","3,8336","1,6134"
"23,0500","3,8419","1,6123"
"23,1000","3,8503","1,6107"
"23,1500","3,8586","1,6082"
"23,2000","3,8669","1,6073"
"23,2500","3,8754","1,6069"
"23,3000","3,8837","1,6068"
"23,3500","3,8921","1,6061"
"23,4000","3,9004","1,6039"
"23,4500","3,9087","1,6016"
"23,5000","3,9170","1,6009"
"23,5500","3,9253","1,6006"
"23,6000","3,9337","1,6006"
"23,6500","3,9420","1,5998"
"23,7000","3,9503","1,5975"
"23,7500","3,9587","1,5958"
"23,8000","3,9670","1,5954"
"23,8500","3,9754","1,5951"
"23,9000","3,9838","1,5956"
"23,9500","3,9921","1,5938"
"24,0000","4,0004","1,5918"
"24,0500","4,0086","1,5905"
"24,1000","4,0170","1,5905"
"24,1500","4,0254","1,5906"
"24,2000","4,0337","1,5905"
"24,2500","4,0421","1,5887"
"24,3000","4,0504","1,5869"
"24,3500","4,0587","1,5856"
"24,4000","4,0670","1,5860"
"24,4500","4,0753","1,5858"
"24,5000","4,0836","1,5856"
"24,5500","4,0919","1,5845"
"24,6000","4,1002","1,5817"
"24,6500","4,1086","1,5807"
"24,7000","4,1169","1,5807"
"24,7500","4,1252","1,5815"
"24,8000","4,1336","1,5808"
"24,8500","4,1420","1,5798"
"24,9000","4,1503","1,5778"
"24,9500","4,1587","1,5771"
"25,0000","4,1670","1,5768"
"25,0500","4,1753","1,5770"
"25,1000","4,1836","1,5769"
"25,1500","4,1920","1,5756"
"25,2000","4,2004","1,5738"
"25,2500","4,2088","1,5730"
"25,3000","4,2171","1,5735"
"25,3500","4,2254","1,5735"
"25,4000","4,2338","1,5732"
"25,4500","4,2422","1,5714"
"25,5000","4,2505","1,5698"
"25,5500","4,2588","1,5698"
"25,6000","4,2671","1,5693"
"25,6500","4,2753","1,5692"
"25,7000","4,2836","1,5688"
"25,7500","4,2920","1,5677"
"25,8000","4,3003","1,5662"
"25,8500","4,3087","1,5658"
"25,9000","4,3170","1,5657"
"25,9500","4,3254","1,5663"
"26,0000","4,3337","1,5651"
"26,0500","4,3420","1,5643"
"26,1000","4,3504","1,5627"
"26,1500","4,3587","1,5624"
"26,2000","4,3671","1,5625"
"26,2500","4,3754","1,5628"
"26,3000","4,3837","1,5622"
"26,3500","4,3920","1,5608"
"26,4000","4,4004","1,5593"
"26,4500","4,4087","1,5586"
"26,5000","4,4171","1,5593"
"26,5500","4,4255","1,5594"
"26,6000","4,4338","1,5589"
"26,6500","4,4421","1,5576"
"26,7000","4,4504","1,5557"
"26,7500","4,4587","1,5559"
"26,8000","4,4669","1,5562"
"26,8500","4,4754","1,5563"
"26,9000","4,4837","1,5558"
"26,9500","4,4920","1,5543"
"27,0000","4,5004","1,5525"
"27,0500","4,5088","1,5527"
"27,1000","4,5171","1,5529"
"27,1500","4,5255","1,5535"
"27,2000","4,5338","1,5525"
"27,2500","4,5421","1,5507"
"27,3000","4,5504","1,5493"
"27,3500","4,5587","1,5501"
"27,4000","4,5670","1,5499"
"27,4500","4,5753","1,5501"
"27,5000","4,5837","1,5494"
"27,5500","4,5921","1,5478"
"27,6000","4,6005","1,5466"
"27,6500","4,6087","1,5470"
"27,7000","4,6170","1,5472"
"27,7500","4,6253","1,5476"
"27,8000","4,6336","1,5465"
"27,8500","4,6419","1,5448"
"27,9000","4,6504","1,5438"
"27,9500","4,6586","1,5444"
"28,0000","4,6669","1,5446"
"28,0500","4,6753","1,5450"
"28,1000","4,6836","1,5438"
"28,1500","4,6920","1,5416"
"28,2000","4,7004","1,5411"
"28,2500","4,7087","1,5416"
"28,3000","4,7170","1,5417"
"28,3500","4,7252","1,5419"
"28,4000","4,7335","1,5406"
"28,4500","4,7420","1,5390"
"28,5000","4,7503","1,5385"
"28,5500","4,7586","1,5387"
"28,6000","4,7670","1,5393"
"28,6500","4,7753","1,5386"
"28,7000","4,7837","1,5371"
"28,7500","4,7921","1,5356"
"28,8000","4,8004","1,5358"
"28,8500","4,8087","1,5360"
"28,9000","4,8171","1,5362"
"28,9500","4,8254","1,5354"
"29,0000","4,8337","1,5336"
"29,0500","4,8421","1,5324"
"29,1000","4,8504","1,5325"
"29,1500","4,8588","1,5333"
"29,2000","4,8672","1,5329"
"29,2500","4,8755","1,5319"
"29,3000","4,8837","1,5300"
"29,3500","4,8921","1,5291"
"29,4000","4,9003","1,5291"
"29,4500","4,9087","1,5294"
"29,5000","4,9170","1,5292"
"29,5500","4,9253","1,5285"
"29,6000","4,9337","1,5259"
"29,6500","4,9420","1,5250"
"29,7000","4,9503","1,5256"
"29,7500","4,9587","1,5256"
"29,8000","4,9670","1,5250"
"29,8500","4,9754","1,5235"
"29,9000","4,9837","1,5212"
"29,9500","4,9919","1,5206"
"30,0000","5,0003","1,5200"
"30,0500","5,0087","1,5200"
"30,1000","5,0169","1,5191"
"30,1500","5,0254","1,5173"
"30,2000","5,0337","1,5149"
"30,2500","5,0420","1,5139"
"30,3000","5,0504","1,5135"
"30,3500","5,0587","1,5122"
"30,4000","5,0670","1,5106"
"30,4500","5,0754","1,5071"
"30,5000","5,0838","1,5045"
"30,5500","5,0920","1,5019"
"30,6000","5,1003","1,5008"
"30,6500","5,1087","1,4982"
"30,7000","5,1170","1,4939"
"30,7500","5,1255","1,4876"
"30,8000","5,1338","1,4814"
"30,8500","5,1422","1,4732"
"30,9000","5,1504","1,4613"
"30,9500","5,1587","1,4181"
"30,9680","5,1618","0,8155"
